timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200228231028	2020-02-28 23:10:28	Nigeria	1	0	0		0
20200229235144	2020-02-29 23:51:44	Nigeria	1	0	0	1	0
20200301234648	2020-03-01 23:46:48	Nigeria	1	0	0	1	0
20200302224751	2020-03-02 22:47:51	Nigeria	1	0	0	1	0
20200303231332	2020-03-03 23:13:32	Nigeria	1	0	0	1	0
20200304230748	2020-03-04 23:07:48	Nigeria	1	0	0	1	0
20200305224916	2020-03-05 22:49:16	Nigeria	1	0	0	1	0
20200306224331	2020-03-06 22:43:31	Nigeria	1	0	0	1	0
20200307225610	2020-03-07 22:56:10	Nigeria	1	0	0	1	0
20200308232251	2020-03-08 23:22:51	Nigeria	1	0	0	1	0
20200309234747	2020-03-09 23:47:47	Nigeria	2	0	0	2	0
20200310233243	2020-03-10 23:32:43	Nigeria	2	0	0	2	0
20200311234701	2020-03-11 23:47:01	Nigeria	2	0	0	2	0
20200312233926	2020-03-12 23:39:26	Nigeria	2	0	0	2	0
20200313235940	2020-03-13 23:59:40	Nigeria	2	0	0	2	0
20200314235906	2020-03-14 23:59:06	Nigeria	2	0	0	2	0
20200315231920	2020-03-15 23:19:20	Nigeria	2	0	1	1	0
20200316232604	2020-03-16 23:26:04	Nigeria	2	0	1	1	0
20200317234753	2020-03-17 23:47:53	Nigeria	3	0	1	2	0
20200318234401	2020-03-18 23:44:01	Nigeria	3	0	1	2	0
20200319131523	2020-03-19 13:15:23	Nigeria	8	0	1	7	0
20200320120009	2020-03-20 12:00:09	Nigeria	12	0	1	11	0
20200321120003	2020-03-21 12:00:03	Nigeria	12	0	1	11	0
20200322120004	2020-03-22 12:00:04	Nigeria	22	0	1	21	0
20200323120003	2020-03-23 12:00:03	Nigeria	30	0	2	28	0
20200324120004	2020-03-24 12:00:04	Nigeria	40	1	2	37	0
