timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200320120009	2020-03-20 12:00:09	Fiji	1	0	0	1	0
20200321120003	2020-03-21 12:00:03	Fiji	1	0	0	1	0
20200322120004	2020-03-22 12:00:04	Fiji	2	0	0	2	0
20200323120003	2020-03-23 12:00:03	Fiji	2	0	0	2	0
20200324120004	2020-03-24 12:00:04	Fiji	3	0	0	3	0
20200325120004	2020-03-25 12:00:04	Fiji	4	0	0	4	0
20200326120004	2020-03-26 12:00:04	Fiji	5	0	0	5	0
20200327120003	2020-03-27 12:00:03	Fiji	5	0	0	5	0
20200328000003	2020-03-28 00:00:03	Fiji	5	0	0	5	0
20200330165358	2020-03-30 16:53:58	Fiji	5	0	0	5	0
20200331120003	2020-03-31 12:00:03	Fiji	5	0	0	5	0
20200401120003	2020-04-01 12:00:03	Fiji	5	0	0	5	0
20200402120004	2020-04-02 12:00:04	Fiji	5	0	0	5	0
