timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200129195657	2020-01-29 19:56:57	Sri Lanka	1	0			
20200130193726	2020-01-30 19:37:26	Sri Lanka	1	0			
20200131214927	2020-01-31 21:49:27	Sri Lanka	1	0			
20200201155449	2020-02-01 15:54:49	Sri Lanka	1	0			
20200202162745	2020-02-02 16:27:45	Sri Lanka	1	0			
20200203164423	2020-02-03 16:44:23	Sri Lanka	1	0	1		0
20200204230701	2020-02-04 23:07:01	Sri Lanka	1	0	1		0
20200205184441	2020-02-05 18:44:41	Sri Lanka	1	0	1		0
20200206231855	2020-02-06 23:18:55	Sri Lanka	1	0	1		0
20200207180939	2020-02-07 18:09:39	Sri Lanka	1	0	1		0
20200208224247	2020-02-08 22:42:47	Sri Lanka	1	0	1		0
20200210194000	2020-02-10 19:40:00	Sri Lanka	1	0	1		0
20200211210512	2020-02-11 21:05:12	Sri Lanka	1	0	1		0
20200212102815	2020-02-12 10:28:15	Sri Lanka	1	0	1		0
20200213195411	2020-02-13 19:54:11	Sri Lanka	1	0	1		0
20200214232753	2020-02-14 23:27:53	Sri Lanka	1	0	1		0
20200215063649	2020-02-15 06:36:49	Sri Lanka	1	0	1		0
20200216230426	2020-02-16 23:04:26	Sri Lanka	1	0	1		0
20200217113920	2020-02-17 11:39:20	Sri Lanka	1	0	1		0
20200218164329	2020-02-18 16:43:29	Sri Lanka	1	0	1		0
20200219180116	2020-02-19 18:01:16	Sri Lanka	1	0	1		0
20200220220812	2020-02-20 22:08:12	Sri Lanka	1	0	1		0
20200221233317	2020-02-21 23:33:17	Sri Lanka	1	0	1		0
20200222234612	2020-02-22 23:46:12	Sri Lanka	1	0	1		0
20200223235611	2020-02-23 23:56:11	Sri Lanka	1	0	1		0
20200224234216	2020-02-24 23:42:16	Sri Lanka	1	0	1		0
20200225235434	2020-02-25 23:54:34	Sri Lanka	1	0	1		0
20200226234848	2020-02-26 23:48:48	Sri Lanka	1	0	1		0
20200227234720	2020-02-27 23:47:20	Sri Lanka	1	0	1		0
20200228231028	2020-02-28 23:10:28	Sri Lanka	1	0	1		0
20200229235144	2020-02-29 23:51:44	Sri Lanka	1	0	1	0	0
20200301234648	2020-03-01 23:46:48	Sri Lanka	1	0	1	0	0
20200302224751	2020-03-02 22:47:51	Sri Lanka	1	0	1	0	0
20200303231332	2020-03-03 23:13:32	Sri Lanka	1	0	1	0	0
20200304230748	2020-03-04 23:07:48	Sri Lanka	1	0	1	0	0
20200305224916	2020-03-05 22:49:16	Sri Lanka	1	0	1	0	0
20200306224331	2020-03-06 22:43:31	Sri Lanka	1	0	1	0	0
20200307225610	2020-03-07 22:56:10	Sri Lanka	1	0	1	0	0
20200308232251	2020-03-08 23:22:51	Sri Lanka	1	0	1	0	0
20200309234747	2020-03-09 23:47:47	Sri Lanka	1	0	1	0	0
20200310233243	2020-03-10 23:32:43	Sri Lanka	1	0	1	0	0
20200311234701	2020-03-11 23:47:01	Sri Lanka	2	0	1	1	0
20200312233926	2020-03-12 23:39:26	Sri Lanka	3	0	1	2	0
20200313235940	2020-03-13 23:59:40	Sri Lanka	6	0	1	5	0
20200314235906	2020-03-14 23:59:06	Sri Lanka	10	0	1	9	0
20200315231920	2020-03-15 23:19:20	Sri Lanka	18	0	1	17	0
20200316232604	2020-03-16 23:26:04	Sri Lanka	28	0	1	27	0
20200317234753	2020-03-17 23:47:53	Sri Lanka	44	0	1	43	0
20200318234401	2020-03-18 23:44:01	Sri Lanka	44	0	1	43	0
20200319131523	2020-03-19 13:15:23	Sri Lanka	51	0	3	48	0
