timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200316232604	2020-03-16 23:26:04	Liberia	1	0	0	1	0
20200317234753	2020-03-17 23:47:53	Liberia	2	0	0	2	0
20200318234401	2020-03-18 23:44:01	Liberia	2	0	0	2	0
20200319131523	2020-03-19 13:15:23	Liberia	2	0	0	2	0
20200320120009	2020-03-20 12:00:09	Liberia	2	0	0	2	0
20200321120003	2020-03-21 12:00:03	Liberia	2	0	0	2	0
20200322120004	2020-03-22 12:00:04	Liberia	3	0	0	3	0
20200323120003	2020-03-23 12:00:03	Liberia	3	0	0	3	0
20200324120004	2020-03-24 12:00:04	Liberia	3	0	0	3	0
20200325120004	2020-03-25 12:00:04	Liberia	3	0	0	3	0
20200326120004	2020-03-26 12:00:04	Liberia	3	0	0	3	0
20200327120003	2020-03-27 12:00:03	Liberia	3	0	0	3	0
20200328000003	2020-03-28 00:00:03	Liberia	3	0	0	3	0
20200330165358	2020-03-30 16:53:58	Liberia	3	0	0	3	0
20200331120003	2020-03-31 12:00:03	Liberia	3	0	0	3	0
20200401120003	2020-04-01 12:00:03	Liberia	3	0	0	3	0
20200402120004	2020-04-02 12:00:04	Liberia	6	0	0	6	0
